Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation
FW-20250414-XN3YO4L2,4/14/2025 2:16,185.203.21.105,172.16.133.63,21948,80,TCP,ALLOW,14720,15066,59,12.6,RULE-5229,accept,external,dmz,22.81,1.55,14.6,41.04,19,FALSE
FW-20250622-FGI5MMEU,6/22/2025 14:37,172.16.132.29,10.137.242.106,62816,80,TCP,ALLOW,2434767,9680,6230,0.1,RULE-2141,accept,dmz,internal,513.38,0.98,88.85,87.03,16918,FALSE
FW-20250609-F6EAGJJ7,6/9/2025 15:42,10.161.21.49,10.197.76.174,37270,3306,TCP,ALLOW,9784,12190,43,10.57,RULE-5562,accept,management,internal,22.92,0.42,20.78,33.98,1,FALSE
FW-20250201-R75PRFMG,2/1/2025 1:07,10.238.173.173,10.133.98.59,55065,8080,TCP,ALLOW,7911,15566,46,7.86,RULE-4301,accept,internal,internal,1363.42,13.5,85.65,35.33,11,TRUE
FW-20250227-6QJIAWA8,2/27/2025 9:16,185.165.104.227,172.16.170.23,43433,3306,TCP,ALLOW,10360,20868,62,19.76,RULE-3954,accept,vpn,dmz,31.81,0.49,17.55,26.19,1,TRUE
FW-20250215-EZNKYKBO,2/15/2025 4:45,185.236.164.221,10.102.251.67,13091,80,TCP,ALLOW,8680,14471,46,10.14,RULE-2120,accept,cloud,management,20.2,0.18,25.93,29.51,11,FALSE
FW-20250513-MTDHK11Q,5/13/2025 19:14,185.75.123.43,185.8.45.243,11404,0,ICMP,ALLOW,14391,12757,54,8.76,RULE-4963,accept,vpn,external,20.23,0,28.24,39.14,1,TRUE
FW-20250319-IUIB4PIJ,3/19/2025 20:24,10.55.158.41,185.156.207.106,39104,3306,TCP,ALLOW,12309,15709,56,17.1,RULE-8994,accept,internal,vpn,22.62,1.3,17.77,31.41,3,TRUE
FW-20250624-5ANIERGL,6/24/2025 5:02,185.239.68.4,185.142.159.104,42662,47288,TCP,DENY,9217,25150,68,19.42,RULE-6276,drop,cloud,external,20.14,0.82,7.39,32.23,9,FALSE
FW-20250224-31O884SQ,2/24/2025 23:05,185.195.111.187,185.39.94.246,9264,443,TCP,ALLOW,9291,4561,27,1.55,RULE-1182,accept,cloud,vpn,18.78,0.14,16.43,43.21,1,FALSE
FW-20250630-0HCL5GTH,6/30/2025 9:49,10.82.88.182,185.207.177.98,56086,3306,TCP,ALLOW,7730,7893,31,8.15,RULE-7099,accept,internal,external,19.64,0.73,15.99,26.16,10,TRUE
FW-20250319-G3YKMRDD,3/19/2025 17:12,185.126.215.245,185.218.200.105,47495,80,TCP,ALLOW,7886,16664,49,12.56,RULE-1886,accept,external,vpn,23.44,0.33,22.87,39.44,1,FALSE
FW-20250705-NFWSIJK4,7/5/2025 7:24,185.96.82.123,185.44.52.119,47799,8080,TCP,ALLOW,5664,13148,37,0.1,RULE-9525,accept,vpn,cloud,24.86,0.02,23.25,33.35,1,TRUE
FW-20250504-BBSR5X36,5/4/2025 4:14,185.205.202.59,185.228.186.215,57072,3306,TCP,ALLOW,8702,16670,50,10.88,RULE-6677,accept,cloud,vpn,18.85,0,23.73,34.44,10,FALSE
FW-20250228-C9HUB0C8,2/28/2025 7:13,185.241.3.9,185.3.139.155,30831,8080,TCP,ALLOW,15791,13071,57,11.08,RULE-4653,accept,external,vpn,18.1,0.3,22.35,30.81,1,FALSE
FW-20250714-FOW5CT5C,7/14/2025 5:04,185.193.237.73,10.157.86.214,24210,22,TCP,ALLOW,8462,5987,28,11.49,RULE-7348,accept,cloud,management,32.76,0.18,22.64,21.87,20,FALSE
FW-20250220-WH6HI0ZH,2/20/2025 8:35,185.137.90.143,185.249.135.188,60732,53,UDP,ALLOW,13134,13430,53,9.78,RULE-9715,accept,vpn,cloud,25.07,1.39,13.51,31.21,13,TRUE
FW-20250703-0QSBN373,7/3/2025 9:45,172.16.126.238,185.0.217.121,5939,443,TCP,ALLOW,15148,8014,46,8.24,RULE-3643,accept,dmz,external,38.07,0.56,28.06,31.73,12,FALSE
FW-20250513-WVAOGWOM,5/13/2025 2:30,185.38.30.231,10.133.82.50,8115,763,TCP,DENY,471,100,11,0.32,RULE-9190,drop,external,management,19.63,0.39,20.33,30.25,10,FALSE
FW-20250208-KZB1LJJ9,2/8/2025 15:51,185.58.158.66,10.174.155.239,50335,53,UDP,DENY,9632,4089,27,15.49,RULE-3758,drop,external,internal,12.47,0,21.37,25.45,1,FALSE
FW-20250329-9R3QQ5F1,3/29/2025 22:32,10.211.16.173,185.59.220.78,56236,53490,ICMP,DENY,10501,14143,49,13.3,RULE-5264,drop,management,vpn,31.32,0.17,27.1,32,6,FALSE
FW-20250504-RZXBAAEV,5/4/2025 10:38,185.39.151.55,10.254.67.16,64147,0,ICMP,ALLOW,18930,14442,66,16.36,RULE-9603,accept,vpn,internal,25.52,1.09,33,31.43,21,TRUE
FW-20250522-0P3BB1QL,5/22/2025 21:31,10.203.103.240,10.236.106.121,17298,3389,TCP,ALLOW,3250695,9744,18154,0.1,RULE-2533,accept,management,management,455.49,0.12,88.87,81.5,11394,FALSE
FW-20250323-IU2GSSDE,3/23/2025 12:25,10.32.65.115,172.16.241.175,59351,0,ICMP,ALLOW,16526,14275,61,11.84,RULE-5010,accept,internal,dmz,24.62,0.9,15.13,31,13,TRUE
FW-20250211-34D6U9V1,2/11/2025 8:41,185.227.64.3,10.228.25.165,14857,22,TCP,ALLOW,15695,12652,56,8.2,RULE-2429,accept,vpn,management,28.26,0.86,20.39,36.7,5,TRUE
FW-20250510-QQRJJAEZ,5/10/2025 11:07,10.169.157.5,10.69.201.215,39951,0,ICMP,ALLOW,4687,21088,51,14.21,RULE-4327,accept,management,internal,22.17,0.48,14.13,33.76,6,FALSE
FW-20250305-QV0H9P8T,3/5/2025 5:16,10.250.82.169,172.16.164.248,57815,0,ICMP,ALLOW,10318,14134,48,14.24,RULE-1308,accept,management,dmz,18.4,0.41,16.74,31,14,FALSE
FW-20250209-IDEYATKC,2/9/2025 19:39,185.112.113.200,10.226.6.67,60987,3389,TCP,ALLOW,2647194,3611,16805,0.1,RULE-1018,accept,cloud,management,458.31,0,91.44,88.28,15425,FALSE
FW-20250614-F64C3DJP,6/14/2025 20:40,185.20.200.166,10.19.80.124,5303,0,ICMP,ALLOW,11878,10030,43,5.34,RULE-6052,accept,vpn,management,30.91,0.11,20.52,15.25,2,TRUE
FW-20250508-C3BQILGF,5/8/2025 3:10,10.106.178.104,185.133.223.242,30126,0,ICMP,ALLOW,9437,5247,29,4.93,RULE-5805,accept,internal,cloud,16.21,0,17.56,28.57,1,TRUE
FW-20250329-9VHC4UQX,3/29/2025 9:44,10.31.139.94,10.154.50.170,29242,8080,TCP,ALLOW,9963,18374,56,17.24,RULE-9734,accept,internal,internal,31,0.44,25.31,15.3,4,TRUE
FW-20250201-6ASDZLFL,2/1/2025 18:54,10.252.93.202,172.16.195.240,15049,5432,TCP,ALLOW,11116,20750,63,9.09,RULE-7939,accept,management,dmz,24.85,0.57,26.75,34.84,18,FALSE
FW-20250711-PGAU7Y4A,7/11/2025 10:45,185.61.58.8,10.217.85.242,17777,0,ICMP,DENY,11795,14534,52,18.75,RULE-6808,drop,external,internal,22.93,0,24.07,34.01,4,FALSE
FW-20250513-7NX4M5KO,5/13/2025 7:55,185.241.192.180,172.16.134.211,43227,5432,TCP,ALLOW,100,7428,15,4.32,RULE-7838,accept,external,dmz,16.59,1.39,11.03,30.41,2,FALSE
FW-20250508-KNBLXEMK,5/8/2025 18:31,172.16.255.210,185.223.249.19,10705,0,ICMP,ALLOW,14936,13289,56,17.83,RULE-3366,accept,dmz,vpn,27.44,0.78,25.5,25.34,8,FALSE
FW-20250605-OFRHJRNA,6/5/2025 6:32,172.16.38.200,172.16.206.141,30615,5432,TCP,ALLOW,10489,11671,44,7.79,RULE-3007,accept,dmz,dmz,28.98,1.04,21.82,27.45,1,FALSE
FW-20250403-4Z354EB4,4/3/2025 9:26,10.128.131.191,185.157.66.68,45733,0,ICMP,ALLOW,8720,11928,41,0.1,RULE-4574,accept,management,vpn,18,0.44,13.89,27.89,2,FALSE
FW-20250710-SFNH4727,7/10/2025 16:41,185.116.72.205,172.16.184.108,58390,5432,TCP,ALLOW,4391662,13254,17001,2.94,RULE-1350,accept,cloud,dmz,500.25,0.18,93.3,81.27,19915,FALSE
FW-20250317-SVQ246UW,3/17/2025 12:19,185.0.93.2,185.17.129.158,23463,22,TCP,ALLOW,11379,14562,51,7.01,RULE-1430,accept,vpn,vpn,29.81,0.5,24.08,31.46,11,TRUE
FW-20250228-C2S2AWC1,2/28/2025 15:43,10.4.123.108,185.233.222.234,36433,0,ICMP,ALLOW,5838,19190,50,7.54,RULE-3632,accept,internal,external,23.33,0.23,23.51,36.2,14,TRUE
FW-20250512-8JB58YL9,5/12/2025 8:43,10.129.143.7,10.113.56.184,17584,80,TCP,ALLOW,12179,12666,49,14.88,RULE-8483,accept,internal,management,21.57,1.24,15.17,37.17,10,TRUE
FW-20250519-OGFG2PHL,5/19/2025 11:09,172.16.16.61,10.244.183.185,49182,443,TCP,ALLOW,13236,18173,62,16.04,RULE-9409,accept,dmz,internal,28.15,0,13.4,26.16,16,FALSE
FW-20250321-VY7VW95X,3/21/2025 19:34,185.1.199.217,185.56.240.201,5378,443,TCP,ALLOW,7890,13243,42,4.23,RULE-6303,accept,external,vpn,17.56,1.49,22.73,31.26,1,FALSE
FW-20250401-GYVA1DNY,4/1/2025 21:35,10.69.117.156,10.188.186.64,20531,8080,TCP,ALLOW,10010,9093,38,10.26,RULE-8234,accept,internal,management,20.07,0.75,20.38,33.5,8,TRUE
FW-20250409-8SGRFTCE,4/9/2025 4:28,185.134.2.241,185.39.202.32,44841,53,UDP,ALLOW,4259,15606,39,9.58,RULE-8870,accept,external,vpn,23.83,0.31,11.54,31.99,5,FALSE
FW-20250709-M7VROGWX,7/9/2025 6:36,185.235.35.135,185.51.164.114,28688,5432,TCP,ALLOW,8089,1909,19,0.1,RULE-5246,accept,cloud,cloud,17.48,0,17.81,28.82,1,FALSE
FW-20250411-QN07GSAB,4/11/2025 4:11,172.16.63.169,10.106.45.220,18085,0,ICMP,ALLOW,15258,3259,37,10.15,RULE-8590,accept,dmz,internal,32.9,0.47,26.07,36.47,7,FALSE
FW-20250620-MACNWQ1S,6/20/2025 23:08,185.115.248.206,10.241.186.142,32420,80,TCP,ALLOW,4404,17432,43,3.25,RULE-7694,accept,external,internal,33.4,0.29,26.95,34.12,1,FALSE
FW-20250711-C4G3KCZ7,7/11/2025 7:32,185.5.154.206,185.209.6.71,60431,5432,TCP,ALLOW,2155615,9773,11712,12.15,RULE-3946,accept,external,external,696.14,0,97.75,92.84,16449,FALSE
FW-20250225-HRJP55I4,2/25/2025 9:16,185.179.42.139,172.16.211.239,5104,8080,TCP,ALLOW,7958,17935,51,6.6,RULE-2806,accept,cloud,dmz,34.25,0.3,25.69,25.39,8,FALSE
FW-20250604-1KEY1239,6/4/2025 2:46,185.234.242.239,172.16.167.37,41984,443,TCP,ALLOW,7688,13571,42,11.93,RULE-4453,accept,vpn,dmz,29.38,0.54,24.13,26.9,8,TRUE
FW-20250217-CR52NGA5,2/17/2025 14:20,10.26.244.76,185.142.16.170,59832,25,TCP,ALLOW,8326,2276,21,0.1,RULE-6528,accept,management,vpn,612.84,15.42,91.78,25.57,1,FALSE
FW-20250313-2789V6U9,3/13/2025 9:32,10.97.88.237,10.188.239.1,49645,380,TCP,DENY,8754,11062,4,1.61,RULE-7456,drop,internal,internal,27.4,0.57,23.32,28.99,5,TRUE
FW-20250316-8CHFMUEB,3/16/2025 19:44,185.246.89.234,172.16.28.65,40476,58619,TCP,DENY,7194,6308,27,10.46,RULE-2267,drop,cloud,dmz,24.69,0.96,26.43,22.87,1,FALSE
FW-20250426-WWPHNDJY,4/26/2025 12:59,10.182.133.24,185.39.175.85,34776,0,ICMP,ALLOW,100,13785,27,2.62,RULE-2031,accept,internal,external,1348.49,14.22,97.89,31.82,22,TRUE
FW-20250223-EV0EOKC4,2/23/2025 23:09,185.190.115.73,185.145.254.109,60386,0,ICMP,ALLOW,18560,100,37,6.85,RULE-5035,accept,vpn,vpn,12.7,0.49,13.25,36.12,19,TRUE
FW-20250426-QR21IOKT,4/26/2025 7:00,172.16.248.180,10.73.84.125,32419,8080,TCP,ALLOW,11427,5596,34,0.1,RULE-4669,accept,dmz,management,15.22,0,19.72,27.04,1,FALSE
FW-20250506-DEX78TNP,5/6/2025 3:05,185.109.97.9,185.19.230.193,8592,53,UDP,ALLOW,12520,6317,37,6.57,RULE-7857,accept,vpn,external,21.2,0.83,16.59,29.64,2,TRUE
FW-20250216-GX9XBARJ,2/16/2025 13:33,10.235.179.191,185.116.62.109,26374,443,TCP,ALLOW,10794,9327,40,15.22,RULE-5239,accept,management,cloud,25.26,0,22.7,34.08,1,FALSE
FW-20250413-5I6PFPT2,4/13/2025 9:36,172.16.108.62,172.16.187.83,57940,80,TCP,ALLOW,11183,31685,85,24.72,RULE-3902,accept,dmz,dmz,21.37,0.65,24.77,34.92,16,FALSE
FW-20250219-928OBAXH,2/19/2025 0:52,185.119.20.132,185.3.148.207,9457,3389,TCP,ALLOW,10377,17413,55,5.22,RULE-1355,accept,vpn,external,969.67,6.02,98.69,31.95,13,TRUE
FW-20250327-QAGGAADQ,3/27/2025 22:50,10.164.70.235,172.16.183.74,14802,3306,TCP,ALLOW,14860,11691,53,22.14,RULE-1267,accept,internal,dmz,14.76,0.21,16.4,23.89,7,TRUE
FW-20250624-2WY0X383,6/24/2025 19:00,10.90.192.169,185.251.204.20,2470,735,TCP,DENY,10188,13210,13,0.51,RULE-1419,drop,internal,cloud,27.14,0.19,18.89,32.6,2,TRUE
FW-20250628-7PY1W1WM,6/28/2025 16:24,172.16.25.47,185.215.254.158,25488,53,UDP,ALLOW,16583,6632,46,4.29,RULE-6943,accept,dmz,cloud,19.62,0.69,26.47,23.72,1,FALSE
FW-20250709-M9QQA3AS,7/9/2025 11:52,185.255.72.136,185.14.239.124,14926,0,ICMP,ALLOW,8196,7711,31,10.13,RULE-4549,accept,external,external,23.56,0,20.47,26.81,1,FALSE
FW-20250219-KOA5RTZ1,2/19/2025 11:25,172.16.162.23,10.208.175.250,48702,25,TCP,ALLOW,3270,13130,32,13.53,RULE-1267,accept,dmz,internal,23.93,0.43,20.47,26.95,6,FALSE
FW-20250206-V96CARX9,2/6/2025 1:54,172.16.223.187,185.70.249.48,35824,80,TCP,ALLOW,12384,18576,61,12.02,RULE-3495,accept,dmz,external,27.87,0,22.23,29.89,6,FALSE
FW-20250507-7XVZ5TYF,5/7/2025 13:01,185.55.10.77,10.140.134.16,55864,0,ICMP,ALLOW,15270,13326,57,6.3,RULE-1840,accept,external,management,21.2,0.16,26.03,26.1,14,FALSE
FW-20250410-VF7LQF18,4/10/2025 1:48,185.124.167.103,172.16.63.110,46137,0,ICMP,ALLOW,4936367,13183,11736,9.96,RULE-9382,accept,cloud,dmz,555.82,0.75,88.92,89.48,12203,FALSE
FW-20250323-9YVE7B7D,3/23/2025 2:51,10.132.86.67,185.7.181.58,20210,8080,TCP,ALLOW,10756,13773,49,8.31,RULE-4184,accept,internal,cloud,14.17,0.91,22.42,22.08,5,TRUE
FW-20250204-TQ7WBNQA,2/4/2025 2:29,10.23.109.4,10.186.215.3,63216,25,TCP,ALLOW,4722,12713,34,2.63,RULE-5409,accept,internal,management,19.77,0.3,17.31,36.32,9,TRUE
FW-20250325-PV90YBVV,3/25/2025 17:18,185.189.58.105,10.113.48.30,22168,3389,TCP,ALLOW,24558,5613,60,17.35,RULE-7721,accept,vpn,management,25.2,0,19.9,37.13,6,TRUE
FW-20250427-J0TOCDS4,4/27/2025 12:02,172.16.170.131,10.150.44.77,17085,80,TCP,ALLOW,12840,19547,64,7.12,RULE-1134,accept,dmz,internal,29.92,0.68,24.76,32.45,9,FALSE
FW-20250412-1A81QD6K,4/12/2025 19:00,185.121.71.138,185.42.3.197,9940,3389,TCP,ALLOW,4678,10679,30,7.74,RULE-7374,accept,vpn,external,17.56,0.41,22.93,28.25,1,TRUE
FW-20250217-8BMF2CWM,2/17/2025 1:13,172.16.135.197,185.63.20.41,17605,5432,TCP,ALLOW,12906,20103,66,8.05,RULE-6378,accept,dmz,external,27.27,0.83,29.55,23.01,1,FALSE
FW-20250316-OX3VUTCF,3/16/2025 17:48,185.143.131.189,185.96.87.120,6473,443,TCP,ALLOW,6827,3661,20,8.09,RULE-1122,accept,external,external,14,0.95,19.87,30.74,5,FALSE
FW-20250712-QRYP5UNM,7/12/2025 8:37,10.7.31.26,185.232.13.13,13743,80,TCP,ALLOW,9969,11723,43,11.43,RULE-4394,accept,management,cloud,18.89,0.62,21.21,35.51,13,FALSE
FW-20250604-OF566QRR,6/4/2025 4:26,185.1.207.100,10.134.55.231,37667,3306,TCP,ALLOW,12583,5407,35,10.15,RULE-5434,accept,vpn,management,20.65,0,22.59,44.71,14,TRUE
FW-20250412-JU1A5H5A,4/12/2025 4:11,172.16.215.62,185.249.134.200,26407,53,UDP,ALLOW,10531,15038,51,10.7,RULE-5445,accept,dmz,external,25.13,1.04,17.64,30.24,8,FALSE
FW-20250330-W6MPT52I,3/30/2025 19:34,185.84.216.74,10.67.3.97,45685,25,TCP,ALLOW,11809,15916,55,19.48,RULE-8958,accept,vpn,internal,17.91,0,20.81,34.26,21,TRUE
FW-20250711-1VB6O5PO,7/11/2025 9:07,10.8.173.90,10.199.166.229,36170,0,ICMP,ALLOW,9691,13252,45,15.36,RULE-1867,accept,internal,management,23.35,1,21.57,34.26,7,TRUE
FW-20250505-BBQ7Q0XR,5/5/2025 18:30,10.181.102.96,10.53.242.198,59592,22,TCP,ALLOW,14572,5720,40,2.67,RULE-3810,accept,management,management,24.97,0.13,29.16,35.96,1,FALSE
FW-20250413-18A8Y53G,4/13/2025 17:16,10.54.149.71,10.163.91.209,22330,0,ICMP,ALLOW,5290,13902,38,13.36,RULE-8521,accept,internal,internal,13.74,1.29,20.63,29.68,10,TRUE
FW-20250202-Y1ONZS75,2/2/2025 18:15,185.169.213.136,10.213.43.216,51033,8080,TCP,DENY,13434,13972,54,7.25,RULE-4367,drop,external,internal,19.95,0.13,17.54,25.96,1,FALSE
FW-20250511-EHAI0WQO,5/11/2025 7:54,172.16.156.63,10.20.109.60,7858,8080,TCP,ALLOW,12163,14804,53,4.62,RULE-9399,accept,dmz,internal,30.75,0.84,18.75,30.43,12,FALSE
FW-20250330-RQ2SPN2U,3/30/2025 4:00,10.22.214.106,185.62.236.239,12041,3306,TCP,ALLOW,3859,4704,17,11.28,RULE-5334,accept,internal,cloud,20.34,0.52,28.46,34.43,2,TRUE
FW-20250302-OFM30O25,3/2/2025 7:17,10.176.56.35,10.35.128.51,33405,443,TCP,ALLOW,11950,6635,37,9.89,RULE-9870,accept,internal,internal,22.29,0,18.31,35.42,1,TRUE
FW-20250710-WNCAFWHZ,7/10/2025 19:56,185.40.97.189,185.66.142.111,6506,3389,TCP,ALLOW,8076,13521,43,14.01,RULE-3224,accept,external,external,32.54,1.37,27.49,34.21,2,FALSE
FW-20250622-XT7HZ7VI,6/22/2025 13:38,185.85.251.98,185.182.116.5,14945,443,TCP,ALLOW,5549,22996,57,11.92,RULE-4664,accept,cloud,cloud,31.12,0.75,16.8,25.61,16,FALSE
FW-20250710-OYCP4MYN,7/10/2025 23:59,10.252.198.240,185.38.125.143,11917,443,TCP,ALLOW,9928,100,20,5.62,RULE-3473,accept,management,cloud,601.68,9.36,98.66,34.2,1,FALSE
FW-20250311-4BQT04JT,3/11/2025 13:22,185.161.203.115,185.233.92.65,48783,8080,TCP,ALLOW,5319,3943,18,0.7,RULE-3154,accept,vpn,cloud,21.99,0.06,19.25,31.51,9,TRUE
FW-20250421-BSR8PWY1,4/21/2025 10:47,185.116.124.199,185.178.216.165,10226,5432,TCP,ALLOW,13360,22187,71,18.79,RULE-6375,accept,cloud,cloud,16.7,1.78,11.98,30.35,14,FALSE
FW-20250708-KYJ80L09,7/8/2025 11:40,185.41.106.29,10.172.93.54,39907,3306,TCP,DENY,6128,13284,38,10.87,RULE-6137,drop,external,internal,34,0.49,18.64,28.8,18,FALSE
FW-20250218-OYGWEU75,2/18/2025 1:10,185.167.106.141,172.16.31.53,6170,3389,TCP,ALLOW,7050,12895,39,2.62,RULE-7346,accept,vpn,dmz,17.32,0.54,25.8,24.32,6,TRUE
FW-20250518-H445UHNT,5/18/2025 21:29,172.16.67.146,185.11.255.203,24215,25,TCP,ALLOW,7016,13000,40,11.15,RULE-2887,accept,dmz,vpn,17.13,0.88,13.83,36.72,16,FALSE
FW-20250607-0L1PQK0L,6/7/2025 8:05,172.16.144.105,10.2.129.73,32381,3306,TCP,ALLOW,100,7594,15,0.1,RULE-6080,accept,dmz,internal,26.62,0,27.5,26.18,1,FALSE
FW-20250305-E6IO5W5O,3/5/2025 22:06,185.210.206.121,10.29.143.76,24166,443,TCP,ALLOW,4908024,14760,19111,4.3,RULE-3832,accept,cloud,internal,511.66,1.27,93.21,93.63,6010,FALSE
FW-20250328-3BS9CR9U,3/28/2025 14:01,10.88.227.117,10.91.22.155,36567,41,TCP,DENY,22781,12188,15,1.67,RULE-3517,drop,internal,management,35.66,0.76,17.44,39.52,8,TRUE
FW-20250223-NIJEJ42H,2/23/2025 12:25,185.199.109.224,185.27.230.205,38188,8080,TCP,ALLOW,5715,10730,32,5.73,RULE-8193,accept,external,external,27.89,0.22,17.63,24.37,19,FALSE
FW-20250327-L47882HX,3/27/2025 9:55,10.221.62.1,10.53.28.188,36676,0,ICMP,ALLOW,14954,13008,55,7.29,RULE-5835,accept,management,management,17.61,1.39,28.37,39.31,1,FALSE
FW-20250603-S22O00WL,6/3/2025 6:26,172.16.31.51,185.160.0.175,16672,80,TCP,ALLOW,4747988,21255,12196,10.46,RULE-4763,accept,dmz,vpn,311.96,0.26,99.23,95.3,14932,FALSE
FW-20250422-LRLT1K5I,4/22/2025 15:59,185.177.73.119,185.97.159.37,38947,0,ICMP,ALLOW,5762,15482,42,10.17,RULE-1780,accept,external,cloud,30.37,0.27,22.49,30.25,8,FALSE
FW-20250403-JLCFGQF3,4/3/2025 17:06,172.16.188.82,185.138.15.45,56887,8080,TCP,ALLOW,7668,19187,53,6.49,RULE-9674,accept,dmz,external,20.25,0.03,20.78,41.59,17,FALSE
FW-20250507-6CCL67OL,5/7/2025 21:26,185.31.133.92,185.148.161.203,16376,5432,TCP,ALLOW,16180,2709,37,8.9,RULE-3152,accept,vpn,vpn,29.58,1.14,21.23,25.8,20,TRUE
FW-20250313-DHVS7L2Z,3/13/2025 7:11,185.133.226.43,185.48.31.169,51813,51131,ICMP,DENY,12584,16240,57,9.46,RULE-4828,drop,vpn,external,20.59,0.19,26.71,25.45,1,TRUE
FW-20250619-7QCN32ET,6/19/2025 22:40,10.197.201.120,185.178.187.71,24360,443,TCP,ALLOW,21952,16143,76,11.82,RULE-8236,accept,management,vpn,33.53,0.52,23.81,31.92,1,FALSE
FW-20250201-TUNIQ391,2/1/2025 2:30,10.158.12.65,172.16.169.33,53729,3306,TCP,ALLOW,17942,15626,67,8.01,RULE-1782,accept,management,dmz,15.82,1.33,7.33,33.55,16,FALSE
