Event_id,Timestamp,Db_instance,Db_user,Query_type,Table_name,Rows_returned,Rows_modified,Execution_time_ms,Cpu_db_usage_percent,Memory_db_usage_percent,Lock_wait_time_ms,Deadlock_flag,Full_table_scan_flag,Index_usage_flag,Active_sessions,Connection_pool_usage_percent,Transaction_log_growth_mb,Backup_running_flag
DB00020,5/22/2025 6:30,DB01,report_user,SELECT,fraud_alerts,775,60,321.56,42.53,45.23,131,0,1,0,24,50.49,92,0
DB00021,4/3/2025 16:23,DB-PAY,etl_user,INSERT,loans,67,18,382.2,63.02,65.77,163,0,1,0,22,46.27,18,0
DB00022,3/18/2025 5:58,DB-PAY,etl_user,UPDATE,cards,54,26,127.13,53.69,52.09,192,0,0,1,32,72.55,38,1
DB00023,6/22/2025 21:20,DB-PAY,etl_user,INSERT,payment_history,143,28,117.13,44.68,46.4,167,0,0,1,23,61.89,37,0
DB00024,5/30/2025 14:38,DB02,app_user,SELECT,audit_logs,191,19,125.5,47.07,46.94,119,0,0,1,23,51.76,21,0
DB00025,3/16/2025 2:18,DB-PAY,report_user,SELECT,fraud_alerts,19,1,112.3,41.21,50.23,156,0,0,1,21,48.28,1,0
DB00026,2/15/2025 19:54,DB-CORE,etl_user,DELETE,fraud_alerts,83,0,101.62,51.43,51.62,127,0,0,1,24,49.14,0,0
DB00027,7/3/2025 15:34,DB02,etl_user,SELECT,customers,82,24,745.43,66.55,61.81,206,0,1,0,22,49.65,27,0
DB00028,2/8/2025 3:37,DB01,etl_user,DELETE,payment_history,47,15,103.9,38.79,45.02,221,0,0,1,25,59.03,17,1
DB00029,2/8/2025 13:13,DB01,admin,UPDATE,fraud_alerts,148,55,125.38,37.91,47.31,174,0,0,1,29,78.57,100,0
DB00030,4/3/2025 14:50,DB-CORE,report_user,SELECT,accounts,625,34,286.45,43.9,52.49,123,0,1,0,21,55.81,34,0
DB00031,5/24/2025 21:59,DB02,etl_user,UPDATE,payment_history,10,1,124.62,44.32,56.82,200,0,0,1,29,63.54,1,1
DB00032,2/19/2025 22:39,DB01,app_user,SELECT,customers,755,11,365.44,51,50.12,185,0,1,0,23,50.08,5,0
DB00033,2/24/2025 2:06,DB-CORE,admin,INSERT,payment_history,71,20,83.26,58.78,41.12,170,0,0,1,31,70.98,32,0
DB00034,5/11/2025 20:25,DB-PAY,report_user,UPDATE,transactions,29,3,73.31,36.02,52.55,118,0,0,1,22,49.69,5,0
DB00035,3/15/2025 14:47,DB01,app_user,UPDATE,accounts,19,3,126.44,41.78,52.2,139,0,0,1,25,56.39,3,0
DB00036,4/3/2025 21:24,DB02,report_user,INSERT,fraud_alerts,67,22,95.8,44.95,43.91,103,0,0,1,19,56.73,31,0
DB00037,6/25/2025 19:02,DB-PAY,report_user,UPDATE,cards,94,42,99.92,57.75,47.94,298,0,0,1,37,81.33,24,1
DB00038,6/5/2025 22:30,DB-PAY,app_user,SELECT,audit_logs,67,32,158.27,47.85,47.6,201,0,0,1,36,100,40,0
DB00039,6/24/2025 11:34,DB02,etl_user,SELECT,cards,141,65,91.63,53.51,49.22,216,0,0,1,25,64.25,37,1
DB00040,3/1/2025 3:19,DB01,admin,SELECT,fraud_alerts,96,12,117.1,41.3,54.9,175,0,0,1,24,49.96,9,1
DB00041,4/24/2025 15:33,DB-CORE,admin,INSERT,fraud_alerts,73,9,89.11,38.54,39.12,177,0,0,1,26,54.41,15,0
DB00042,3/14/2025 20:48,DB-CORE,etl_user,DELETE,customers,1060,27,383.31,72.64,66.64,141,0,0,1,25,63.18,35,1
DB00043,7/6/2025 16:39,DB02,report_user,DELETE,accounts,149,69,99.91,41.67,46.2,232,0,0,1,17,35.71,55,0
DB00044,4/22/2025 23:41,DB-CORE,admin,INSERT,accounts,108,49,88.23,48.09,56.15,228,0,0,1,26,55.72,79,0
DB00045,4/2/2025 0:57,DB-CORE,report_user,DELETE,cards,90,11,142.06,47.64,45.55,149,0,0,1,25,55.61,10,0
DB00046,4/26/2025 0:22,DB-PAY,etl_user,UPDATE,customers,107,50,241.41,37.98,52.38,699,1,0,1,23,49.27,77,1
DB00047,5/9/2025 4:03,DB01,report_user,SELECT,transactions,105,10,118.69,46.29,45.77,125,0,0,1,24,61.43,12,0
DB00048,6/1/2025 15:35,DB01,report_user,INSERT,fraud_alerts,124,31,112.24,53.01,46.51,159,0,0,1,27,56.82,55,0
DB00049,3/26/2025 6:52,DB-PAY,admin,DELETE,customers,235,67,181.01,51.45,61.05,907,1,0,1,26,61.63,100,0
DB00050,5/23/2025 1:14,DB-CORE,etl_user,SELECT,loans,105,6,117.61,47.59,47.59,215,0,0,1,30,85.95,7,0
DB00051,6/20/2025 8:31,DB01,report_user,UPDATE,cards,64,27,457.79,58.47,61.11,253,0,1,0,27,70.88,29,0
DB00052,5/14/2025 9:21,DB-PAY,report_user,DELETE,transactions,10,0,494.18,61.57,70.77,232,0,0,1,29,76.43,0,0
DB00053,5/2/2025 17:22,DB-PAY,report_user,DELETE,payment_history,179,34,159.28,49.49,59.86,166,0,0,1,31,71.08,20,0
DB00054,3/13/2025 22:17,DB01,app_user,INSERT,loans,152,5,119.91,49.63,53.46,218,0,0,1,32,90.39,8,0
DB00055,2/4/2025 11:35,DB02,app_user,SELECT,payment_history,165,0,138.59,46.06,52.42,237,0,0,1,20,42.82,0,1
DB00056,3/10/2025 1:59,DB-PAY,report_user,SELECT,audit_logs,49,13,109.5,44.61,45.6,131,0,0,1,19,45.05,8,0
DB00057,3/7/2025 0:15,DB02,admin,UPDATE,cards,118,34,109.06,45.23,52.52,254,0,0,1,22,56.44,61,0
DB00058,5/11/2025 23:16,DB02,etl_user,SELECT,loans,112,40,130.24,42.86,47.35,116,0,0,1,23,53.01,64,0
DB00059,6/21/2025 0:09,DB02,etl_user,INSERT,transactions,820,18,496.64,53.9,81.77,180,0,0,1,23,63.64,27,0
DB00060,5/16/2025 22:10,DB02,report_user,SELECT,customers,57,25,135.72,38.86,40.94,145,0,0,1,22,55.62,30,0
DB00061,4/13/2025 4:57,DB-CORE,etl_user,SELECT,cards,1,0,73.31,61.72,49.03,126,0,0,1,23,56.12,0,0
DB00062,2/22/2025 15:24,DB02,admin,UPDATE,fraud_alerts,165,21,77.65,52.04,52.2,228,0,0,1,29,83.51,17,1
DB00063,2/21/2025 20:58,DB-PAY,app_user,SELECT,fraud_alerts,147,10,96.84,32.38,46.52,631,0,0,1,36,82.63,9,0
DB00064,7/7/2025 2:07,DB02,etl_user,INSERT,transactions,111,40,489.54,55.88,60.57,168,0,1,0,21,58.3,65,0
DB00065,4/3/2025 13:50,DB02,app_user,SELECT,cards,114,38,76.68,40.32,51,226,0,0,1,21,46.67,48,0
DB00066,3/7/2025 15:12,DB-CORE,etl_user,DELETE,customers,1,0,58.8,40.64,37.22,192,0,0,1,22,56.07,0,0
DB00067,5/27/2025 8:41,DB01,app_user,UPDATE,cards,1,0,204.56,46.08,46.39,898,1,0,1,25,62.31,0,0
DB00068,3/28/2025 6:21,DB02,app_user,INSERT,fraud_alerts,150,6,102.83,43.08,47.57,150,0,0,1,29,77.18,4,0
DB00069,4/5/2025 1:36,DB01,report_user,UPDATE,transactions,10,0,304.03,78.17,68.68,203,0,0,1,30,69.85,0,0
DB00070,4/1/2025 0:47,DB-CORE,admin,SELECT,transactions,91,25,132.62,42.7,49.02,166,0,0,1,28,72.59,44,0
DB00071,3/10/2025 13:17,DB02,app_user,INSERT,customers,228,85,109.27,53.7,49.83,136,0,0,1,27,79.42,164,1
DB00072,5/24/2025 4:31,DB01,etl_user,DELETE,customers,75,29,215.9,40.15,53.15,1195,1,0,1,28,71.32,30,0
DB00073,2/25/2025 19:03,DB01,admin,DELETE,loans,77,34,83.42,46.53,56.65,227,0,0,1,29,66.72,30,0
DB00074,2/2/2025 1:28,DB01,app_user,SELECT,audit_logs,130,4,80.08,45.54,50.03,265,0,0,1,27,62.71,2,0
DB00075,4/18/2025 3:18,DB-CORE,admin,INSERT,transactions,197,74,69.86,43.92,40.2,103,0,0,1,20,49.15,95,0
DB00076,5/6/2025 6:44,DB-CORE,admin,INSERT,loans,88,36,100.35,47.74,51.23,158,0,0,1,25,64.88,42,0
DB00077,7/5/2025 7:24,DB-CORE,app_user,DELETE,transactions,175,31,131.1,45.2,41.82,231,0,0,1,29,62.61,37,0
DB00078,6/10/2025 14:42,DB01,admin,UPDATE,transactions,109,42,106.44,35.81,45.19,227,0,0,1,23,53.68,50,0
DB00079,4/27/2025 9:13,DB01,report_user,DELETE,accounts,112,26,106.49,58.99,32.35,170,0,0,1,20,47.04,17,0
DB00080,3/20/2025 14:27,DB01,admin,SELECT,loans,150,29,531.44,60.06,68.6,167,0,1,0,23,48.94,37,1
DB00081,5/22/2025 21:53,DB02,etl_user,INSERT,payment_history,1030,32,319.26,58.25,72.59,176,0,0,1,27,73.14,45,0
DB00082,2/24/2025 19:56,DB-PAY,report_user,SELECT,fraud_alerts,23,4,121.86,46.3,43.51,194,0,0,1,27,78.38,4,0
DB00083,3/13/2025 13:01,DB01,report_user,SELECT,payment_history,66,18,107.68,47.64,49.38,147,0,0,1,26,75.15,19,0
DB00084,6/15/2025 17:25,DB-PAY,admin,UPDATE,fraud_alerts,68,30,141.25,51.43,50.7,364,0,0,1,36,100,32,0
DB00085,5/25/2025 10:19,DB-CORE,etl_user,INSERT,fraud_alerts,50,14,74.6,37.96,45.56,167,0,0,1,20,41.69,14,0
DB00086,5/23/2025 13:15,DB02,admin,DELETE,customers,23,7,95.47,43.62,51.4,197,0,0,1,26,56.49,6,1
DB00087,3/18/2025 17:14,DB-PAY,app_user,INSERT,transactions,57,8,99.83,49.75,52.78,162,0,0,1,32,93.4,11,0
DB00088,3/31/2025 6:55,DB02,app_user,UPDATE,transactions,103,35,94.1,44.61,47,112,0,0,1,21,48.44,25,1
DB00089,5/1/2025 6:17,DB01,admin,UPDATE,payment_history,117,50,135.68,50.64,58.75,212,0,0,1,28,69.57,85,1
DB00090,2/15/2025 0:59,DB-CORE,report_user,UPDATE,audit_logs,36,4,90.64,46.56,40.02,142,0,0,1,24,71.63,6,0
DB00091,4/29/2025 13:07,DB02,etl_user,INSERT,transactions,93,28,111.2,40.07,45.37,149,0,0,1,25,71.93,25,1
DB00092,4/29/2025 5:25,DB-PAY,admin,INSERT,transactions,340,29,257.98,50.22,44.86,167,0,1,0,24,68.71,55,0
DB00093,2/28/2025 11:32,DB-PAY,admin,SELECT,accounts,127,41,108.15,40.41,57.18,323,0,0,1,24,57.55,53,0
DB00094,6/30/2025 0:08,DB02,etl_user,INSERT,accounts,126,9,191.93,47.54,45.15,685,1,0,1,25,50.17,7,0
DB00095,5/17/2025 17:36,DB-PAY,admin,DELETE,transactions,115,12,112.31,40.51,44,296,0,0,1,30,63.42,12,1
DB00096,2/23/2025 16:38,DB02,etl_user,UPDATE,payment_history,99,39,143.15,54.9,55.94,195,0,0,1,31,80.15,47,0
DB00097,3/24/2025 22:56,DB-PAY,etl_user,DELETE,accounts,93,35,101.23,46.08,51.88,202,0,0,1,24,67.07,65,0
DB00098,2/18/2025 3:54,DB02,etl_user,SELECT,loans,118,27,104.27,49.31,54.34,164,0,0,1,29,74.89,39,1
DB00099,2/15/2025 5:59,DB02,report_user,SELECT,transactions,97,32,805.98,47.39,59.98,130,0,1,0,24,64.05,43,0
DB00100,4/13/2025 23:13,DB-CORE,report_user,SELECT,fraud_alerts,84,25,114.05,35.38,48.24,705,0,0,1,42,64.56,34,1
DB00101,4/18/2025 13:02,DB-CORE,app_user,INSERT,audit_logs,149,43,87.89,41.18,46.7,131,0,0,1,22,58.84,70,1
DB00102,2/21/2025 12:27,DB-PAY,etl_user,DELETE,fraud_alerts,123,25,94.99,34.64,49.98,191,0,0,1,22,63.98,45,0
DB00103,3/19/2025 1:52,DB01,admin,INSERT,customers,840,12,443.99,62.67,76.98,131,0,0,1,23,49.72,12,1
DB00104,6/5/2025 12:23,DB-PAY,report_user,DELETE,audit_logs,101,15,97.15,30.36,50.6,157,0,0,1,26,67.73,24,0
DB00105,2/16/2025 3:20,DB01,app_user,INSERT,accounts,52,17,103.96,33.48,46.07,279,0,0,1,29,62.71,18,0
DB00106,5/6/2025 9:47,DB02,etl_user,INSERT,loans,19,0,123.78,42.91,51.36,183,0,0,1,30,63.37,0,1
DB00107,6/21/2025 15:10,DB01,admin,DELETE,fraud_alerts,143,57,204.62,37.99,50.6,988,1,0,1,24,67.42,91,0
DB00108,7/14/2025 18:32,DB-PAY,app_user,SELECT,customers,130,46,143.52,48.57,49.34,168,0,0,1,25,53.15,53,0
DB00109,4/26/2025 2:59,DB-PAY,app_user,SELECT,payment_history,78,3,89.16,48.77,47.73,200,0,0,1,27,68.15,2,0
DB00110,2/21/2025 22:43,DB01,etl_user,UPDATE,fraud_alerts,67,2,115.09,48.75,56.92,201,0,0,1,26,71.99,1,0
DB00111,4/10/2025 4:48,DB-PAY,report_user,UPDATE,cards,149,46,114.78,51.89,44.02,296,0,0,1,25,60.44,77,0
DB00112,2/18/2025 22:11,DB02,etl_user,INSERT,loans,128,23,133.05,46.4,45.58,115,0,0,1,21,56.92,29,0
DB00113,3/12/2025 15:51,DB01,admin,UPDATE,loans,218,61,317.54,62.24,63.82,162,0,1,0,25,67.87,103,1
DB00114,2/25/2025 23:58,DB01,admin,SELECT,payment_history,110,25,109.01,49.91,50.26,123,0,0,1,24,52.47,22,0
DB00115,7/9/2025 10:19,DB02,admin,SELECT,loans,58,23,94.74,50.43,51.67,143,0,0,1,26,71.51,45,0
DB00116,6/23/2025 5:39,DB01,app_user,INSERT,loans,90,38,103.8,45.05,54.22,157,0,0,1,26,52.65,56,0
DB00117,4/2/2025 11:53,DB01,app_user,INSERT,accounts,110,6,117.22,52.41,46.95,153,0,0,1,26,68.03,5,0
DB00118,6/7/2025 9:49,DB-CORE,admin,SELECT,customers,81,35,115.66,48.85,54.17,196,0,0,1,34,96.17,40,1
DB00119,5/1/2025 18:10,DB01,etl_user,DELETE,accounts,80,32,114.66,42.1,47.94,178,0,0,1,28,79.98,23,0
DB00120,4/23/2025 21:19,DB01,etl_user,SELECT,fraud_alerts,7,2,76.44,53.02,43.88,153,0,0,1,21,54.96,1,0
DB00121,4/24/2025 4:33,DB01,app_user,INSERT,customers,146,41,116.27,47.72,49.98,222,0,0,1,28,73.11,52,0
DB00122,6/6/2025 21:58,DB01,etl_user,DELETE,loans,53,2,111.96,45.22,34.34,128,0,0,1,21,55.29,3,0
DB00123,4/26/2025 19:33,DB-CORE,app_user,DELETE,cards,78,9,82.89,41.01,50.22,163,0,0,1,21,58.89,11,0
DB00124,4/20/2025 22:49,DB-PAY,app_user,UPDATE,cards,153,53,110.1,51.63,49.06,723,0,0,1,45,99.01,37,1
DB00125,2/8/2025 3:27,DB01,etl_user,UPDATE,loans,84,37,117.99,52.15,63.32,130,0,0,1,24,71.75,59,1
DB00126,4/22/2025 17:50,DB-CORE,etl_user,DELETE,customers,166,71,133.23,47.94,50.95,129,0,0,1,24,69.27,80,0
DB00127,5/27/2025 14:53,DB-CORE,app_user,UPDATE,customers,89,14,84.63,44.12,48.05,420,0,0,1,27,58.37,23,0
DB00128,5/20/2025 15:14,DB-CORE,app_user,SELECT,loans,64,2,86.28,52.15,52.8,145,0,0,1,25,63.94,3,1
DB00129,2/18/2025 14:57,DB-CORE,app_user,DELETE,customers,1430,49,376.86,70.68,81.68,184,0,0,1,31,74.78,30,0
DB00130,7/12/2025 3:42,DB-CORE,report_user,SELECT,payment_history,510,44,434.85,42.14,63.05,157,0,1,0,29,85.16,32,0
DB00131,6/16/2025 11:16,DB-CORE,etl_user,INSERT,fraud_alerts,51,22,92.06,48.16,39.26,223,0,0,1,20,54.75,16,1
DB00132,5/13/2025 19:16,DB01,etl_user,INSERT,customers,132,45,101.84,45.15,42.38,158,0,0,1,26,74.79,53,1
DB00133,2/23/2025 7:33,DB02,etl_user,UPDATE,loans,183,5,99.66,44.76,48.88,155,0,0,1,26,53.85,8,1
DB00134,2/6/2025 13:55,DB01,report_user,SELECT,payment_history,80,17,230.54,52.21,46.24,1118,1,0,1,27,76.49,14,0
DB00135,2/7/2025 6:21,DB-PAY,etl_user,DELETE,cards,42,20,115.59,39.13,41.21,169,0,0,1,28,82.21,32,0
DB00136,7/12/2025 9:23,DB-PAY,admin,DELETE,transactions,122,37,126.49,52.27,57.89,210,0,0,1,33,82.24,54,0
DB00137,5/29/2025 6:48,DB01,etl_user,DELETE,loans,147,47,99.84,46.95,50.17,123,0,0,1,22,52.56,87,0
DB00138,4/17/2025 3:22,DB02,report_user,DELETE,accounts,183,85,74.58,46.1,49.75,577,0,0,1,35,78.14,144,0
DB00139,2/5/2025 15:27,DB01,report_user,SELECT,fraud_alerts,209,10,126.37,50.4,54.69,212,0,0,1,28,79.38,18,0
DB00140,5/23/2025 3:01,DB02,etl_user,DELETE,cards,15,0,110.85,50.54,48.13,351,0,0,1,34,79.06,0,0
DB00141,6/18/2025 14:08,DB02,report_user,SELECT,payment_history,560,0,442.13,68.24,69.74,266,0,0,1,32,65.66,0,0
DB00142,6/16/2025 13:27,DB-PAY,etl_user,SELECT,accounts,455,14,277.25,45.16,43.78,251,0,1,0,22,45.4,25,0
DB00143,7/8/2025 0:43,DB01,app_user,SELECT,customers,25,2,128.61,48.46,37.88,140,0,0,1,20,50.44,1,1
DB00144,7/11/2025 15:50,DB01,report_user,UPDATE,customers,128,34,136.21,40.11,49.15,170,0,0,1,23,51.43,56,1
DB00145,2/10/2025 11:02,DB02,app_user,INSERT,accounts,28,12,81.4,36.21,50.11,160,0,0,1,28,61.12,8,0
DB00146,4/15/2025 7:10,DB01,admin,INSERT,cards,1690,39,432.07,83.08,72.97,157,0,0,1,26,55.86,67,0
DB00147,6/2/2025 1:07,DB-CORE,report_user,UPDATE,fraud_alerts,109,14,129.32,40.25,43.51,150,0,0,1,26,77.98,11,0
DB00148,4/13/2025 13:30,DB01,app_user,INSERT,loans,232,14,91.27,44.16,48.43,257,0,0,1,25,54.71,12,0
DB00149,6/13/2025 10:54,DB-CORE,report_user,UPDATE,transactions,145,20,110.07,45.09,51.55,148,0,0,1,28,78.84,14,0
DB00150,2/7/2025 16:45,DB01,etl_user,SELECT,customers,68,11,114.7,51.66,45,133,0,0,1,23,59.94,15,0
DB00151,3/6/2025 10:22,DB-CORE,report_user,DELETE,audit_logs,69,7,115.58,54.03,46.12,142,0,0,1,27,67.19,13,0
DB00152,4/25/2025 3:31,DB01,admin,DELETE,transactions,102,35,70.38,37.57,55.25,112,0,0,1,21,49.29,43,0
DB00153,5/25/2025 11:55,DB01,app_user,SELECT,transactions,89,13,156.62,49.71,54.93,191,0,0,1,32,74.49,16,0
DB00154,3/14/2025 18:44,DB-PAY,report_user,UPDATE,fraud_alerts,1500,59,441.92,53.84,78.12,208,0,0,1,25,66.63,67,0
DB00155,7/11/2025 6:57,DB-PAY,app_user,INSERT,transactions,113,10,122.15,42.2,42.6,114,0,0,1,22,45.52,18,0
DB00156,6/24/2025 11:35,DB02,etl_user,DELETE,accounts,92,19,134.92,47.35,43.7,145,0,0,1,18,44.73,15,0
DB00157,5/14/2025 15:20,DB02,report_user,SELECT,loans,146,29,142.3,57.03,60.21,257,0,0,1,28,79.67,53,0
DB00158,6/18/2025 18:44,DB01,admin,SELECT,payment_history,120,55,77.65,43.77,58.85,217,0,0,1,24,69.08,90,1
DB00159,6/25/2025 5:28,DB-PAY,app_user,UPDATE,accounts,1830,37,622.21,53.23,77.63,247,0,0,1,26,65.97,44,0
DB00160,4/20/2025 16:16,DB02,admin,DELETE,transactions,42,17,108.8,38.88,49.45,125,0,0,1,23,49.66,10,0
DB00161,4/25/2025 14:25,DB-PAY,app_user,INSERT,payment_history,68,14,103.5,43.83,47.51,192,0,0,1,25,57.03,17,0
DB00162,2/5/2025 4:37,DB02,report_user,UPDATE,cards,7,2,95.46,41.86,51.02,107,0,0,1,19,45.85,2,0
DB00163,4/25/2025 20:38,DB02,etl_user,SELECT,loans,85,23,92.6,42.64,48.51,150,0,0,1,28,81.48,25,0
DB00164,4/22/2025 2:24,DB02,etl_user,SELECT,cards,520,9,459.43,53.73,86.4,228,0,0,1,24,66.45,12,0
DB00165,4/23/2025 7:41,DB-CORE,admin,DELETE,cards,32,7,64.71,40.22,55.43,225,0,0,1,26,76.97,5,0
DB00166,2/26/2025 21:21,DB02,etl_user,DELETE,loans,1,0,60.74,46.26,46.66,186,0,0,1,27,55.4,0,0
DB00167,4/23/2025 22:17,DB-PAY,app_user,UPDATE,transactions,96,27,85.77,40.31,43.46,623,0,0,1,44,80.2,42,0
DB00168,6/18/2025 22:57,DB-PAY,etl_user,DELETE,audit_logs,139,31,135.1,47.6,50.89,165,0,0,1,25,67.57,35,0
DB00169,3/14/2025 14:03,DB-PAY,report_user,SELECT,customers,61,22,98.46,44.35,40.59,255,0,0,1,21,47.16,33,1
DB00170,4/7/2025 0:18,DB01,admin,DELETE,accounts,31,6,97.01,44.36,45.88,139,0,0,1,24,65.98,10,0
DB00171,7/5/2025 9:44,DB-PAY,etl_user,UPDATE,accounts,18,3,85.61,42.32,51.22,178,0,0,1,26,73.26,1,0
DB00172,6/11/2025 15:06,DB-CORE,report_user,INSERT,accounts,124,1,123.26,40.3,48.67,155,0,0,1,24,51.91,1,0
DB00173,5/19/2025 15:16,DB01,app_user,INSERT,transactions,55,19,120.36,36.18,42.06,261,0,0,1,27,64.96,16,0
DB00174,3/26/2025 13:45,DB-PAY,report_user,SELECT,customers,94,6,102.76,47.45,52.67,123,0,0,1,24,65.56,10,0
DB00175,5/21/2025 1:25,DB-CORE,app_user,UPDATE,customers,64,4,104.19,33.52,46.49,145,0,0,1,26,53.66,6,0
DB00176,2/22/2025 17:50,DB02,app_user,DELETE,loans,44,13,68.49,51.66,46.03,160,0,0,1,29,78.68,18,0
DB00177,5/12/2025 22:14,DB01,app_user,DELETE,audit_logs,108,15,436.54,58.58,58.39,113,0,1,0,19,52.84,21,0
DB00178,3/25/2025 20:27,DB01,report_user,INSERT,customers,76,3,105.53,48.61,48.31,190,0,0,1,27,56.27,2,0
DB00179,4/18/2025 20:06,DB02,app_user,INSERT,audit_logs,660,4,407.61,44.19,43.46,180,0,1,0,24,49.73,2,1
DB00180,6/22/2025 0:25,DB02,report_user,INSERT,accounts,750,74,439.16,48.58,37.42,221,0,1,0,30,62.1,53,0
DB00181,3/18/2025 0:26,DB-CORE,report_user,INSERT,loans,195,12,126.93,40.71,57.4,147,0,0,1,28,77.93,19,1
DB00182,4/2/2025 21:28,DB01,etl_user,DELETE,audit_logs,144,22,106.9,50.82,52.74,490,0,0,1,52,98.86,12,0
DB00183,4/16/2025 17:47,DB02,admin,INSERT,fraud_alerts,90,42,97.17,41.95,38.29,558,0,0,1,42,59.13,76,0
DB00184,4/29/2025 11:35,DB-CORE,admin,DELETE,audit_logs,151,25,109.2,40.34,51.4,173,0,0,1,19,39.98,42,0
DB00185,2/22/2025 8:50,DB01,admin,SELECT,payment_history,535,38,233.21,54.55,58.18,274,0,1,0,38,78.43,20,0
DB00186,5/12/2025 11:40,DB-CORE,app_user,UPDATE,accounts,177,62,90.74,44.47,51.31,273,0,0,1,23,55.27,36,0
DB00187,7/4/2025 7:26,DB-PAY,etl_user,INSERT,fraud_alerts,183,78,122.6,45.69,47.47,116,0,0,1,23,62.89,133,0
DB00188,6/8/2025 8:54,DB-PAY,report_user,DELETE,loans,53,7,117.49,30.29,53.79,142,0,0,1,21,48.31,12,0
DB00189,3/6/2025 20:44,DB-CORE,app_user,UPDATE,transactions,11,2,118.59,50.05,45.98,121,0,0,1,24,53.07,2,1
DB00190,5/19/2025 12:01,DB-CORE,report_user,UPDATE,accounts,90,31,434.12,61.8,61.53,182,0,1,0,29,73.1,25,1
DB00191,3/10/2025 7:01,DB-PAY,app_user,INSERT,audit_logs,102,16,112.47,38.05,46.58,151,0,0,1,24,64.55,22,1
DB00192,6/24/2025 14:35,DB-PAY,report_user,UPDATE,loans,103,35,524.14,65.77,51.19,180,0,1,0,27,66.3,43,1
DB00193,7/9/2025 9:12,DB-PAY,etl_user,UPDATE,loans,41,0,113.65,41.7,56.14,206,0,0,1,27,75.72,0,0
DB00194,4/14/2025 10:09,DB01,etl_user,INSERT,customers,109,33,259.13,50.03,51.15,94,0,1,0,18,41.03,55,0
DB00195,4/10/2025 22:51,DB-CORE,report_user,SELECT,cards,53,11,81,48.13,50.47,152,0,0,1,25,73.87,17,0
DB00196,2/20/2025 7:34,DB-PAY,app_user,DELETE,audit_logs,90,6,74.75,51.79,45.83,115,0,0,1,23,67.51,8,0
DB00197,5/19/2025 22:05,DB01,app_user,UPDATE,payment_history,178,17,116.67,54.65,54.44,247,0,0,1,29,61.64,22,0
