Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
FW-20250309-16V2RJTZ,3/9/2025 17:50,185.70.180.88,185.222.23.104,26679,53,UDP,ALLOW,7759,17489,50,13.13,RULE-7000,accept,vpn,vpn,27.82,0.92,21.78,29.36,24,True,0,Normal,0,0.18253188117284028,0.374979374079062,0.0094821565,0.16313411,0,0,0,0
FW-20250302-0MT0Z1K1,3/2/2025 18:52,172.16.162.76,185.184.74.118,51614,3389,TCP,ALLOW,8650,7543,32,9.0,RULE-2960,accept,dmz,external,24.1,0.13,27.39,34.28,1,False,0,Normal,0,0.11731059044680935,0.06484571852034153,0.007979108,0.27910694,0,0,0,0
FW-20250414-XN3YO4L2,4/14/2025 2:16,185.203.21.105,172.16.133.63,21948,80,TCP,ALLOW,14720,15066,59,12.6,RULE-5229,accept,external,dmz,22.81,1.55,14.6,41.04,19,False,0,Normal,0,0.11063575863680734,0.12447762101416268,0.017345734,0.19008392,0,0,0,0
FW-20250622-FGI5MMEU,6/22/2025 14:37,172.16.132.29,10.137.242.106,62816,80,TCP,ALLOW,2434767,9680,6230,0.1,RULE-2141,accept,dmz,internal,513.38,0.98,88.85,87.03,16918,False,1,DDoS,10,0.38362858412568074,0.6838520979256718,0.14956364,0.31747,2,1,1,0
FW-20250609-F6EAGJJ7,6/9/2025 15:42,10.161.21.49,10.197.76.174,37270,3306,TCP,ALLOW,9784,12190,43,10.57,RULE-5562,accept,management,internal,22.92,0.42,20.78,33.98,1,False,0,Normal,0,0.09814847015278216,0.044393395161231634,0.0038011177,0.2462509,0,0,0,0
FW-20250201-R75PRFMG,2/1/2025 1:07,10.238.173.173,10.133.98.59,55065,8080,TCP,ALLOW,7911,15566,46,7.86,RULE-4301,accept,internal,internal,1363.42,13.5,85.65,35.33,11,True,1,Latence / Perte paquet,10,0.2800204644573696,0.498507861784985,0.061699174,0.27985436,1,1,0,0
FW-20250227-6QJIAWA8,2/27/2025 9:16,185.165.104.227,172.16.170.23,43433,3306,TCP,ALLOW,10360,20868,62,19.76,RULE-3954,accept,vpn,dmz,31.81,0.49,17.55,26.19,1,True,0,Normal,0,0.228341491999955,0.2949495984658033,0.0056821094,0.38439277,0,0,0,0
FW-20250215-EZNKYKBO,2/15/2025 4:45,185.236.164.221,10.102.251.67,13091,80,TCP,ALLOW,8680,14471,46,10.14,RULE-2120,accept,cloud,management,20.2,0.18,25.93,29.51,11,False,0,Normal,0,0.17082339621255901,0.08489441507816635,0.009013957,0.41856182,0,0,0,0
FW-20250513-MTDHK11Q,5/13/2025 19:14,185.75.123.43,185.8.45.243,11404,0,ICMP,ALLOW,14391,12757,54,8.76,RULE-4963,accept,vpn,external,20.23,0.0,28.24,39.14,1,True,0,Normal,0,0.2108747685867307,0.238820683186578,0.021216031,0.3725876,0,0,0,0
FW-20250319-IUIB4PIJ,3/19/2025 20:24,10.55.158.41,185.156.207.106,39104,3306,TCP,ALLOW,12309,15709,56,17.1,RULE-8994,accept,internal,vpn,22.62,1.3,17.77,31.41,3,True,0,Normal,0,0.20288332229020586,0.25652987100667923,0.013905639,0.33821446,0,0,0,0
FW-20250624-5ANIERGL,6/24/2025 5:02,185.239.68.4,185.142.159.104,42662,47288,TCP,DENY,9217,25150,68,19.42,RULE-6276,drop,cloud,external,20.14,0.82,7.39,32.23,9,False,1,Port inhabituel,8,0.39927126842647054,0.7483864464732785,0.09544697,0.3539804,1,1,0,0
FW-20250224-31O884SQ,2/24/2025 23:05,185.195.111.187,185.39.94.246,9264,443,TCP,ALLOW,9291,4561,27,1.55,RULE-1182,accept,cloud,vpn,18.78,0.14,16.43,43.21,1,False,0,Normal,0,0.15824850498018195,0.24502447447560813,0.014990986,0.21473005,0,0,0,0
FW-20250630-0HCL5GTH,6/30/2025 9:49,10.82.88.182,185.207.177.98,56086,3306,TCP,ALLOW,7730,7893,31,8.15,RULE-7099,accept,internal,external,19.64,0.73,15.99,26.16,10,True,0,Normal,0,0.1267465164971144,0.11468170110860204,0.0044707884,0.26108706,0,0,0,0
FW-20250319-G3YKMRDD,3/19/2025 17:12,185.126.215.245,185.218.200.105,47495,80,TCP,ALLOW,7886,16664,49,12.56,RULE-1886,accept,external,vpn,23.44,0.33,22.87,39.44,1,False,0,Normal,0,0.11253017155513963,0.08519985152589685,0.0071442826,0.24524638,0,0,0,0
FW-20250705-NFWSIJK4,7/5/2025 7:24,185.96.82.123,185.44.52.119,47799,8080,TCP,ALLOW,5664,13148,37,0.1,RULE-9525,accept,vpn,cloud,24.86,0.02,23.25,33.35,1,True,0,Normal,0,0.19831597998690143,0.23525836154674096,0.024250045,0.33543953,0,0,0,0
FW-20250504-BBSR5X36,5/4/2025 4:14,185.205.202.59,185.228.186.215,57072,3306,TCP,ALLOW,8702,16670,50,10.88,RULE-6677,accept,cloud,vpn,18.85,0.0,23.73,34.44,10,False,0,Normal,0,0.15618801864903128,0.13787718312206737,0.0152750965,0.31541178,0,0,0,0
FW-20250228-C9HUB0C8,2/28/2025 7:13,185.241.3.9,185.3.139.155,30831,8080,TCP,ALLOW,15791,13071,57,11.08,RULE-4653,accept,external,vpn,18.1,0.3,22.35,30.81,1,False,0,Normal,0,0.1330960601966271,0.1185772738682297,0.002070845,0.27864006,0,0,0,0
FW-20250714-FOW5CT5C,7/14/2025 5:04,185.193.237.73,10.157.86.214,24210,22,TCP,ALLOW,8462,5987,28,11.49,RULE-7348,accept,cloud,management,32.76,0.18,22.64,21.87,20,False,0,Normal,0,0.11660049612144974,0.16410337030352198,0.008554112,0.177144,0,0,0,0
FW-20250220-WH6HI0ZH,2/20/2025 8:35,185.137.90.143,185.249.135.188,60732,53,UDP,ALLOW,13134,13430,53,9.78,RULE-9715,accept,vpn,cloud,25.07,1.39,13.51,31.21,13,True,0,Normal,0,0.19101784083311588,0.3344794562999853,0.014246666,0.2243274,0,0,0,0
FW-20250703-0QSBN373,7/3/2025 9:45,172.16.126.238,185.0.217.121,5939,443,TCP,ALLOW,15148,8014,46,8.24,RULE-3643,accept,dmz,external,38.07,0.56,28.06,31.73,12,False,0,Normal,0,0.09959450865669066,0.10027942541638059,0.004148747,0.19435535,0,0,0,0
FW-20250513-WVAOGWOM,5/13/2025 2:30,185.38.30.231,10.133.82.50,8115,763,TCP,DENY,471,100,11,0.32,RULE-9190,drop,external,management,19.63,0.39,20.33,30.25,10,False,1,Scan reseau,9,0.25003064142372405,0.4450560667874275,0.014838574,0.29019728,1,1,0,0
FW-20250208-KZB1LJJ9,2/8/2025 15:51,185.58.158.66,10.174.155.239,50335,53,UDP,DENY,9632,4089,27,15.49,RULE-3758,drop,external,internal,12.47,0.0,21.37,25.45,1,False,1,Comportement anormal,4,0.27851575092946196,0.465328066840014,0.08146648,0.2887527,1,1,0,0
FW-20250329-9R3QQ5F1,3/29/2025 22:32,10.211.16.173,185.59.220.78,56236,53490,ICMP,DENY,10501,14143,49,13.3,RULE-5264,drop,management,vpn,31.32,0.17,27.1,32.0,6,False,1,Port inhabituel,8,0.33887987935876823,0.6424232417147153,0.04632761,0.3278888,1,1,0,0
FW-20250504-RZXBAAEV,5/4/2025 10:38,185.39.151.55,10.254.67.16,64147,0,ICMP,ALLOW,18930,14442,66,16.36,RULE-9603,accept,vpn,internal,25.52,1.09,33.0,31.43,21,True,0,Normal,0,0.23743180134941722,0.37906966392843683,0.022180183,0.31104556,0,0,0,0
FW-20250522-0P3BB1QL,5/22/2025 21:31,10.203.103.240,10.236.106.121,17298,3389,TCP,ALLOW,3250695,9744,18154,0.1,RULE-2533,accept,management,management,455.49,0.12,88.87,81.5,11394,False,1,DDoS,10,0.4589449261397016,0.7863470300346291,0.1130428,0.47744495,2,1,1,0
FW-20250323-IU2GSSDE,3/23/2025 12:25,10.32.65.115,172.16.241.175,59351,0,ICMP,ALLOW,16526,14275,61,11.84,RULE-5010,accept,internal,dmz,24.62,0.9,15.13,31.0,13,True,1,Comportement anormal,4,0.2744821755748213,0.25222997327483315,0.0067116916,0.56450486,1,0,0,1
FW-20250211-34D6U9V1,2/11/2025 8:41,185.227.64.3,10.228.25.165,14857,22,TCP,ALLOW,15695,12652,56,8.2,RULE-2429,accept,vpn,management,28.26,0.86,20.39,36.7,5,True,0,Normal,0,0.22435111107940134,0.181507700756629,0.00563772,0.4859079,0,0,0,0
FW-20250510-QQRJJAEZ,5/10/2025 11:07,10.169.157.5,10.69.201.215,39951,0,ICMP,ALLOW,4687,21088,51,14.21,RULE-4327,accept,management,internal,22.17,0.48,14.13,33.76,6,False,0,Normal,0,0.21639362810177679,0.1764592088944636,0.008890608,0.46383107,0,0,0,0
FW-20250305-QV0H9P8T,3/5/2025 5:16,10.250.82.169,172.16.164.248,57815,0,ICMP,ALLOW,10318,14134,48,14.24,RULE-1308,accept,management,dmz,18.4,0.41,16.74,31.0,14,False,0,Normal,0,0.1680252000812866,0.1825101295856171,0.006573013,0.31499246,0,0,0,0
FW-20250209-IDEYATKC,2/9/2025 19:39,185.112.113.200,10.226.6.67,60987,3389,TCP,ALLOW,2647194,3611,16805,0.1,RULE-1018,accept,cloud,management,458.31,0.0,91.44,88.28,15425,False,1,DDoS,10,0.41220380936554224,0.8310724668053135,0.098881885,0.30665708,1,1,0,0
FW-20250614-F64C3DJP,6/14/2025 20:40,185.20.200.166,10.19.80.124,5303,0,ICMP,ALLOW,11878,10030,43,5.34,RULE-6052,accept,vpn,management,30.91,0.11,20.52,15.25,2,True,0,Normal,0,0.2445124994334665,0.29051780830832924,0.020323994,0.4226957,0,0,0,0
FW-20250508-C3BQILGF,5/8/2025 3:10,10.106.178.104,185.133.223.242,30126,0,ICMP,ALLOW,9437,5247,29,4.93,RULE-5805,accept,internal,cloud,16.21,0.0,17.56,28.57,1,True,0,Normal,0,0.22859426426495846,0.19403102509992537,0.008794047,0.48295772,0,0,0,0
FW-20250329-9VHC4UQX,3/29/2025 9:44,10.31.139.94,10.154.50.170,29242,8080,TCP,ALLOW,9963,18374,56,17.24,RULE-9734,accept,internal,internal,31.0,0.44,25.31,15.3,4,True,0,Normal,0,0.2656981510256335,0.27306514600950615,0.022356205,0.5016731,0,0,0,0
FW-20250201-6ASDZLFL,2/1/2025 18:54,10.252.93.202,172.16.195.240,15049,5432,TCP,ALLOW,11116,20750,63,9.09,RULE-7939,accept,management,dmz,24.85,0.57,26.75,34.84,18,False,0,Normal,0,0.17539972716254226,0.14695662485233646,0.007253068,0.3719895,0,0,0,0
FW-20250711-PGAU7Y4A,7/11/2025 10:45,185.61.58.8,10.217.85.242,17777,0,ICMP,DENY,11795,14534,52,18.75,RULE-6808,drop,external,internal,22.93,0.0,24.07,34.01,4,False,1,Comportement anormal,4,0.23255697474451983,0.4692510540953911,0.04463552,0.18378435,1,1,0,0
FW-20250513-7NX4M5KO,5/13/2025 7:55,185.241.192.180,172.16.134.211,43227,5432,TCP,ALLOW,100,7428,15,4.32,RULE-7838,accept,external,dmz,16.59,1.39,11.03,30.41,2,False,0,Normal,0,0.13209893384185942,0.16909138161264395,0.018836537,0.20836888,0,0,0,0
FW-20250508-KNBLXEMK,5/8/2025 18:31,172.16.255.210,185.223.249.19,10705,0,ICMP,ALLOW,14936,13289,56,17.83,RULE-3366,accept,dmz,vpn,27.44,0.78,25.5,25.34,8,False,0,Normal,0,0.144390196773676,0.25348006911059595,0.0065858625,0.17310466,0,0,0,0
FW-20250605-OFRHJRNA,6/5/2025 6:32,172.16.38.200,172.16.206.141,30615,5432,TCP,ALLOW,10489,11671,44,7.79,RULE-3007,accept,dmz,dmz,28.98,1.04,21.82,27.45,1,False,0,Normal,0,0.07387530069263064,0.054883912524917186,0.008556865,0.15818512,0,0,0,0
FW-20250403-4Z354EB4,4/3/2025 9:26,10.128.131.191,185.157.66.68,45733,0,ICMP,ALLOW,8720,11928,41,0.1,RULE-4574,accept,management,vpn,18.0,0.44,13.89,27.89,2,False,0,Normal,0,0.12757238243963084,0.19722430672334917,0.010232699,0.17526014,0,0,0,0
FW-20250710-SFNH4727,7/10/2025 16:41,185.116.72.205,172.16.184.108,58390,5432,TCP,ALLOW,4391662,13254,17001,2.94,RULE-1350,accept,cloud,dmz,500.25,0.18,93.3,81.27,19915,False,1,DDoS,10,0.4511983939002941,0.8771995598050921,0.18583693,0.2905587,2,1,1,0
FW-20250317-SVQ246UW,3/17/2025 12:19,185.0.93.2,185.17.129.158,23463,22,TCP,ALLOW,11379,14562,51,7.01,RULE-1430,accept,vpn,vpn,29.81,0.5,24.08,31.46,11,True,0,Normal,0,0.2219534633040756,0.1501882272713869,0.006732241,0.5089399,0,0,0,0
FW-20250228-C2S2AWC1,2/28/2025 15:43,10.4.123.108,185.233.222.234,36433,0,ICMP,ALLOW,5838,19190,50,7.54,RULE-3632,accept,internal,external,23.33,0.23,23.51,36.2,14,True,0,Normal,0,0.23031954067268331,0.1852611071562278,0.013513174,0.49218434,0,0,0,0
FW-20250512-8JB58YL9,5/12/2025 8:43,10.129.143.7,10.113.56.184,17584,80,TCP,ALLOW,12179,12666,49,14.88,RULE-8483,accept,internal,management,21.57,1.24,15.17,37.17,10,True,0,Normal,0,0.22776721070545325,0.1514575023304644,0.012037268,0.51980686,0,0,0,0
FW-20250519-OGFG2PHL,5/19/2025 11:09,172.16.16.61,10.244.183.185,49182,443,TCP,ALLOW,13236,18173,62,16.04,RULE-9409,accept,dmz,internal,28.15,0.0,13.4,26.16,16,False,0,Normal,0,0.14600510119998042,0.11224603934894756,0.013241906,0.31252736,0,0,0,0
FW-20250321-VY7VW95X,3/21/2025 19:34,185.1.199.217,185.56.240.201,5378,443,TCP,ALLOW,7890,13243,42,4.23,RULE-6303,accept,external,vpn,17.56,1.49,22.73,31.26,1,False,0,Normal,0,0.07377631056760127,0.10573863687975331,0.012398919,0.103191376,0,0,0,0
FW-20250401-GYVA1DNY,4/1/2025 21:35,10.69.117.156,10.188.186.64,20531,8080,TCP,ALLOW,10010,9093,38,10.26,RULE-8234,accept,internal,management,20.07,0.75,20.38,33.5,8,True,0,Normal,0,0.07650925127531878,0.11919667250635603,0.0026002158,0.107730865,0,0,0,0
FW-20250409-8SGRFTCE,4/9/2025 4:28,185.134.2.241,185.39.202.32,44841,53,UDP,ALLOW,4259,15606,39,9.58,RULE-8870,accept,external,vpn,23.83,0.31,11.54,31.99,5,False,0,Normal,0,0.12991999360765055,0.2261801834507297,0.011089152,0.15249065,0,0,0,0
FW-20250709-M7VROGWX,7/9/2025 6:36,185.235.35.135,185.51.164.114,28688,5432,TCP,ALLOW,8089,1909,19,0.1,RULE-5246,accept,cloud,cloud,17.48,0.0,17.81,28.82,1,False,0,Normal,0,0.13160478365756964,0.22793776761257337,0.010971545,0.15590504,0,0,0,0
FW-20250411-QN07GSAB,4/11/2025 4:11,172.16.63.169,10.106.45.220,18085,0,ICMP,ALLOW,15258,3259,37,10.15,RULE-8590,accept,dmz,internal,32.9,0.47,26.07,36.47,7,False,0,Normal,0,0.13655383293054665,0.17525669740057478,0.01445873,0.21994607,0,0,0,0
FW-20250620-MACNWQ1S,6/20/2025 23:08,185.115.248.206,10.241.186.142,32420,80,TCP,ALLOW,4404,17432,43,3.25,RULE-7694,accept,external,internal,33.4,0.29,26.95,34.12,1,False,0,Normal,0,0.05987227680180529,0.036791059282245006,0.0073605515,0.13546522,0,0,0,0
FW-20250711-C4G3KCZ7,7/11/2025 7:32,185.5.154.206,185.209.6.71,60431,5432,TCP,ALLOW,2155615,9773,11712,12.15,RULE-3946,accept,external,external,696.14,0.0,97.75,92.84,16449,False,1,DDoS,10,0.36777874877596134,0.7716682270331451,0.12524052,0.2064275,2,1,1,0
FW-20250225-HRJP55I4,2/25/2025 9:16,185.179.42.139,172.16.211.239,5104,8080,TCP,ALLOW,7958,17935,51,6.6,RULE-2806,accept,cloud,dmz,34.25,0.3,25.69,25.39,8,False,0,Normal,0,0.15546081603273762,0.18090722011640709,0.023399953,0.26207528,0,0,0,0
FW-20250604-1KEY1239,6/4/2025 2:46,185.234.242.239,172.16.167.37,41984,443,TCP,ALLOW,7688,13571,42,11.93,RULE-4453,accept,vpn,dmz,29.38,0.54,24.13,26.9,8,True,0,Normal,0,0.13397960851551252,0.12131781450357015,0.002281327,0.27833968,0,0,0,0
FW-20250217-CR52NGA5,2/17/2025 14:20,10.26.244.76,185.142.16.170,59832,25,TCP,ALLOW,8326,2276,21,0.1,RULE-6528,accept,management,vpn,612.84,15.42,91.78,25.57,1,False,1,Latence / Perte paquet,10,0.3327726077011017,0.4833421337517464,0.04995563,0.46502006,1,1,0,0
FW-20250313-2789V6U9,3/13/2025 9:32,10.97.88.237,10.188.239.1,49645,380,TCP,DENY,8754,11062,4,1.61,RULE-7456,drop,internal,internal,27.4,0.57,23.32,28.99,5,True,1,Comportement anormal,4,0.30947522109512215,0.36393071538250826,0.0053987904,0.55909616,1,0,0,1
FW-20250316-8CHFMUEB,3/16/2025 19:44,185.246.89.234,172.16.28.65,40476,58619,TCP,DENY,7194,6308,27,10.46,RULE-2267,drop,cloud,dmz,24.69,0.96,26.43,22.87,1,False,1,Port inhabituel,8,0.36947887973569804,0.6175243768567732,0.041931603,0.44898066,1,1,0,0
FW-20250426-WWPHNDJY,4/26/2025 12:59,10.182.133.24,185.39.175.85,34776,0,ICMP,ALLOW,100,13785,27,2.62,RULE-2031,accept,internal,external,1348.49,14.22,97.89,31.82,22,True,1,Latence / Perte paquet,10,0.3532114256532967,0.5462271099126279,0.032520857,0.4808863,1,1,0,0
FW-20250223-EV0EOKC4,2/23/2025 23:09,185.190.115.73,185.145.254.109,60386,0,ICMP,ALLOW,18560,100,37,6.85,RULE-5035,accept,vpn,vpn,12.7,0.49,13.25,36.12,19,True,1,Comportement anormal,4,0.35091689196980186,0.47637284637260996,0.0085031,0.5678747,2,1,0,1
FW-20250426-QR21IOKT,4/26/2025 7:00,172.16.248.180,10.73.84.125,32419,8080,TCP,ALLOW,11427,5596,34,0.1,RULE-4669,accept,dmz,management,15.22,0.0,19.72,27.04,1,False,1,Comportement anormal,4,0.22737171519217858,0.1272707568382611,0.017231116,0.5376133,1,0,0,1
FW-20250506-DEX78TNP,5/6/2025 3:05,185.109.97.9,185.19.230.193,8592,53,UDP,ALLOW,12520,6317,37,6.57,RULE-7857,accept,vpn,external,21.2,0.83,16.59,29.64,2,True,1,Comportement anormal,4,0.2728055189527609,0.27076208503247445,0.004770241,0.54288423,1,0,0,1
FW-20250216-GX9XBARJ,2/16/2025 13:33,10.235.179.191,185.116.62.109,26374,443,TCP,ALLOW,10794,9327,40,15.22,RULE-5239,accept,management,cloud,25.26,0.0,22.7,34.08,1,False,0,Normal,0,0.19121495992401752,0.09979754643021568,0.019413564,0.45443377,0,0,0,0
FW-20250413-5I6PFPT2,4/13/2025 9:36,172.16.108.62,172.16.187.83,57940,80,TCP,ALLOW,11183,31685,85,24.72,RULE-3902,accept,dmz,dmz,21.37,0.65,24.77,34.92,16,False,0,Normal,0,0.25822525651124134,0.37743774967989363,0.040616784,0.35662124,0,0,0,0
FW-20250219-928OBAXH,2/19/2025 0:52,185.119.20.132,185.3.148.207,9457,3389,TCP,ALLOW,10377,17413,55,5.22,RULE-1355,accept,vpn,external,969.67,6.02,98.69,31.95,13,True,1,Latence / Perte paquet,10,0.3008289174913262,0.4753821750518366,0.08059524,0.34650934,1,1,0,0
FW-20250327-QAGGAADQ,3/27/2025 22:50,10.164.70.235,172.16.183.74,14802,3306,TCP,ALLOW,14860,11691,53,22.14,RULE-1267,accept,internal,dmz,14.76,0.21,16.4,23.89,7,True,0,Normal,0,0.20561398692128474,0.27889563615463414,0.012319713,0.3256266,0,0,0,0
FW-20250624-2WY0X383,6/24/2025 19:00,10.90.192.169,185.251.204.20,2470,735,TCP,DENY,10188,13210,13,0.51,RULE-1419,drop,internal,cloud,27.14,0.19,18.89,32.6,2,True,1,Comportement anormal,4,0.26348509613167825,0.4898509319422121,0.022021605,0.27858275,1,1,0,0
FW-20250628-7PY1W1WM,6/28/2025 16:24,172.16.25.47,185.215.254.158,25488,53,UDP,ALLOW,16583,6632,46,4.29,RULE-6943,accept,dmz,cloud,19.62,0.69,26.47,23.72,1,False,0,Normal,0,0.18651660915859544,0.273491735451609,0.004661673,0.28139642,0,0,0,0
FW-20250709-M9QQA3AS,7/9/2025 11:52,185.255.72.136,185.14.239.124,14926,0,ICMP,ALLOW,8196,7711,31,10.13,RULE-4549,accept,external,external,23.56,0.0,20.47,26.81,1,False,0,Normal,0,0.11547294706861834,0.10946540667148413,0.009403777,0.22754966,0,0,0,0
FW-20250219-KOA5RTZ1,2/19/2025 11:25,172.16.162.23,10.208.175.250,48702,25,TCP,ALLOW,3270,13130,32,13.53,RULE-1267,accept,dmz,internal,23.93,0.43,20.47,26.95,6,False,0,Normal,0,0.06864538308135391,0.02456775635187985,0.002524835,0.17884356,0,0,0,0
FW-20250206-V96CARX9,2/6/2025 1:54,172.16.223.187,185.70.249.48,35824,80,TCP,ALLOW,12384,18576,61,12.02,RULE-3495,accept,dmz,external,27.87,0.0,22.23,29.89,6,False,0,Normal,0,0.05983502823684516,0.0452805124915809,0.0107166255,0.12350795,0,0,0,0
FW-20250507-7XVZ5TYF,5/7/2025 13:01,185.55.10.77,10.140.134.16,55864,0,ICMP,ALLOW,15270,13326,57,6.3,RULE-1840,accept,external,management,21.2,0.16,26.03,26.1,14,False,0,Normal,0,0.09337603986665167,0.1706763460235166,0.008024196,0.10142758,0,0,0,0
FW-20250410-VF7LQF18,4/10/2025 1:48,185.124.167.103,172.16.63.110,46137,0,ICMP,ALLOW,4936367,13183,11736,9.96,RULE-9382,accept,cloud,dmz,555.82,0.75,88.92,89.48,12203,False,1,DDoS,10,0.3405237722285797,0.8509513632620008,0.052405145,0.11821481,1,1,0,0
